Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Wind power generation - hourly data
2018-01-03 04:00:00,2018-01-03 05:00:00,2018-01-03 07:00:00,2018-01-03 08:00:00,721.0
2018-01-03 05:00:00,2018-01-03 06:00:00,2018-01-03 08:00:00,2018-01-03 09:00:00,687.0
2018-01-03 06:00:00,2018-01-03 07:00:00,2018-01-03 09:00:00,2018-01-03 10:00:00,662.0
2018-01-03 07:00:00,2018-01-03 08:00:00,2018-01-03 10:00:00,2018-01-03 11:00:00,660.0
2018-01-03 08:00:00,2018-01-03 09:00:00,2018-01-03 11:00:00,2018-01-03 12:00:00,655.0
2018-01-03 09:00:00,2018-01-03 10:00:00,2018-01-03 12:00:00,2018-01-03 13:00:00,626.0
2018-01-03 10:00:00,2018-01-03 11:00:00,2018-01-03 13:00:00,2018-01-03 14:00:00,565.0
2018-01-03 11:00:00,2018-01-03 12:00:00,2018-01-03 14:00:00,2018-01-03 15:00:00,519.0
2018-01-03 12:00:00,2018-01-03 13:00:00,2018-01-03 15:00:00,2018-01-03 16:00:00,450.0
2018-01-03 13:00:00,2018-01-03 14:00:00,2018-01-03 16:00:00,2018-01-03 17:00:00,394.0
2018-01-03 14:00:00,2018-01-03 15:00:00,2018-01-03 17:00:00,2018-01-03 18:00:00,428.0
2018-01-03 15:00:00,2018-01-03 16:00:00,2018-01-03 18:00:00,2018-01-03 19:00:00,422.0
2018-01-03 16:00:00,2018-01-03 17:00:00,2018-01-03 19:00:00,2018-01-03 20:00:00,420.0
2018-01-03 17:00:00,2018-01-03 18:00:00,2018-01-03 20:00:00,2018-01-03 21:00:00,406.0
2018-01-03 18:00:00,2018-01-03 19:00:00,2018-01-03 21:00:00,2018-01-03 22:00:00,385.0
2018-01-03 19:00:00,2018-01-03 20:00:00,2018-01-03 22:00:00,2018-01-03 23:00:00,320.0
2018-01-03 20:00:00,2018-01-03 21:00:00,2018-01-03 23:00:00,2018-01-04 00:00:00,231.0
2018-01-03 21:00:00,2018-01-03 22:00:00,2018-01-04 00:00:00,2018-01-04 01:00:00,203.0
2018-01-03 22:00:00,2018-01-03 23:00:00,2018-01-04 01:00:00,2018-01-04 02:00:00,194.0
2018-01-03 23:00:00,2018-01-04 00:00:00,2018-01-04 02:00:00,2018-01-04 03:00:00,169.0
2018-01-04 00:00:00,2018-01-04 01:00:00,2018-01-04 03:00:00,2018-01-04 04:00:00,166.0
2018-01-04 01:00:00,2018-01-04 02:00:00,2018-01-04 04:00:00,2018-01-04 05:00:00,160.0
2018-01-04 02:00:00,2018-01-04 03:00:00,2018-01-04 05:00:00,2018-01-04 06:00:00,155.0
2018-01-04 03:00:00,2018-01-04 04:00:00,2018-01-04 06:00:00,2018-01-04 07:00:00,171.0
2018-01-04 04:00:00,2018-01-04 05:00:00,2018-01-04 07:00:00,2018-01-04 08:00:00,190.0
2018-01-04 05:00:00,2018-01-04 06:00:00,2018-01-04 08:00:00,2018-01-04 09:00:00,195.0
2018-01-04 06:00:00,2018-01-04 07:00:00,2018-01-04 09:00:00,2018-01-04 10:00:00,213.0
2018-01-04 07:00:00,2018-01-04 08:00:00,2018-01-04 10:00:00,2018-01-04 11:00:00,249.0
2018-01-04 08:00:00,2018-01-04 09:00:00,2018-01-04 11:00:00,2018-01-04 12:00:00,299.0
2018-01-04 09:00:00,2018-01-04 10:00:00,2018-01-04 12:00:00,2018-01-04 13:00:00,352.0
2018-01-04 10:00:00,2018-01-04 11:00:00,2018-01-04 13:00:00,2018-01-04 14:00:00,384.0
2018-01-04 11:00:00,2018-01-04 12:00:00,2018-01-04 14:00:00,2018-01-04 15:00:00,432.0
2018-01-04 12:00:00,2018-01-04 13:00:00,2018-01-04 15:00:00,2018-01-04 16:00:00,429.0
2018-01-04 13:00:00,2018-01-04 14:00:00,2018-01-04 16:00:00,2018-01-04 17:00:00,442.0
2018-01-04 14:00:00,2018-01-04 15:00:00,2018-01-04 17:00:00,2018-01-04 18:00:00,487.0
2018-01-04 15:00:00,2018-01-04 16:00:00,2018-01-04 18:00:00,2018-01-04 19:00:00,524.0
2018-01-04 16:00:00,2018-01-04 17:00:00,2018-01-04 19:00:00,2018-01-04 20:00:00,567.0
2018-01-04 17:00:00,2018-01-04 18:00:00,2018-01-04 20:00:00,2018-01-04 21:00:00,639.0
2018-01-04 18:00:00,2018-01-04 19:00:00,2018-01-04 21:00:00,2018-01-04 22:00:00,684.0
2018-01-04 19:00:00,2018-01-04 20:00:00,2018-01-04 22:00:00,2018-01-04 23:00:00,737.0
2018-01-04 20:00:00,2018-01-04 21:00:00,2018-01-04 23:00:00,2018-01-05 00:00:00,775.0
2018-01-04 21:00:00,2018-01-04 22:00:00,2018-01-05 00:00:00,2018-01-05 01:00:00,796.0
2018-01-04 22:00:00,2018-01-04 23:00:00,2018-01-05 01:00:00,2018-01-05 02:00:00,842.0
2018-01-04 23:00:00,2018-01-05 00:00:00,2018-01-05 02:00:00,2018-01-05 03:00:00,891.0
2018-01-05 00:00:00,2018-01-05 01:00:00,2018-01-05 03:00:00,2018-01-05 04:00:00,939.0
2018-01-05 01:00:00,2018-01-05 02:00:00,2018-01-05 04:00:00,2018-01-05 05:00:00,975.0
2018-01-05 02:00:00,2018-01-05 03:00:00,2018-01-05 05:00:00,2018-01-05 06:00:00,1005.0
2018-01-05 03:00:00,2018-01-05 04:00:00,2018-01-05 06:00:00,2018-01-05 07:00:00,1018.0
2018-01-05 04:00:00,2018-01-05 05:00:00,2018-01-05 07:00:00,2018-01-05 08:00:00,1018.0
2018-01-05 05:00:00,2018-01-05 06:00:00,2018-01-05 08:00:00,2018-01-05 09:00:00,1041.0
2018-01-05 06:00:00,2018-01-05 07:00:00,2018-01-05 09:00:00,2018-01-05 10:00:00,1016.0
2018-01-05 07:00:00,2018-01-05 08:00:00,2018-01-05 10:00:00,2018-01-05 11:00:00,963.0
2018-01-05 08:00:00,2018-01-05 09:00:00,2018-01-05 11:00:00,2018-01-05 12:00:00,923.0
2018-01-05 09:00:00,2018-01-05 10:00:00,2018-01-05 12:00:00,2018-01-05 13:00:00,901.0
2018-01-05 10:00:00,2018-01-05 11:00:00,2018-01-05 13:00:00,2018-01-05 14:00:00,867.0
2018-01-05 11:00:00,2018-01-05 12:00:00,2018-01-05 14:00:00,2018-01-05 15:00:00,837.0
2018-01-05 12:00:00,2018-01-05 13:00:00,2018-01-05 15:00:00,2018-01-05 16:00:00,815.0
2018-01-05 13:00:00,2018-01-05 14:00:00,2018-01-05 16:00:00,2018-01-05 17:00:00,790.0
2018-01-05 14:00:00,2018-01-05 15:00:00,2018-01-05 17:00:00,2018-01-05 18:00:00,741.0
2018-01-05 15:00:00,2018-01-05 16:00:00,2018-01-05 18:00:00,2018-01-05 19:00:00,701.0
2018-01-05 16:00:00,2018-01-05 17:00:00,2018-01-05 19:00:00,2018-01-05 20:00:00,679.0
2018-01-05 17:00:00,2018-01-05 18:00:00,2018-01-05 20:00:00,2018-01-05 21:00:00,661.0
2018-01-05 18:00:00,2018-01-05 19:00:00,2018-01-05 21:00:00,2018-01-05 22:00:00,623.0
2018-01-05 19:00:00,2018-01-05 20:00:00,2018-01-05 22:00:00,2018-01-05 23:00:00,602.0
2018-01-05 20:00:00,2018-01-05 21:00:00,2018-01-05 23:00:00,2018-01-06 00:00:00,554.0
2018-01-05 21:00:00,2018-01-05 22:00:00,2018-01-06 00:00:00,2018-01-06 01:00:00,510.0
2018-01-05 22:00:00,2018-01-05 23:00:00,2018-01-06 01:00:00,2018-01-06 02:00:00,460.0
2018-01-05 23:00:00,2018-01-06 00:00:00,2018-01-06 02:00:00,2018-01-06 03:00:00,422.0
2018-01-06 00:00:00,2018-01-06 01:00:00,2018-01-06 03:00:00,2018-01-06 04:00:00,363.0
2018-01-06 01:00:00,2018-01-06 02:00:00,2018-01-06 04:00:00,2018-01-06 05:00:00,339.0
2018-01-06 02:00:00,2018-01-06 03:00:00,2018-01-06 05:00:00,2018-01-06 06:00:00,336.0
2018-01-06 03:00:00,2018-01-06 04:00:00,2018-01-06 06:00:00,2018-01-06 07:00:00,342.0
2018-01-06 04:00:00,2018-01-06 05:00:00,2018-01-06 07:00:00,2018-01-06 08:00:00,357.0
2018-01-06 05:00:00,2018-01-06 06:00:00,2018-01-06 08:00:00,2018-01-06 09:00:00,380.0
2018-01-06 06:00:00,2018-01-06 07:00:00,2018-01-06 09:00:00,2018-01-06 10:00:00,394.0
2018-01-06 07:00:00,2018-01-06 08:00:00,2018-01-06 10:00:00,2018-01-06 11:00:00,384.0
2018-01-06 08:00:00,2018-01-06 09:00:00,2018-01-06 11:00:00,2018-01-06 12:00:00,378.0
2018-01-06 09:00:00,2018-01-06 10:00:00,2018-01-06 12:00:00,2018-01-06 13:00:00,384.0
2018-01-06 10:00:00,2018-01-06 11:00:00,2018-01-06 13:00:00,2018-01-06 14:00:00,428.0
2018-01-06 11:00:00,2018-01-06 12:00:00,2018-01-06 14:00:00,2018-01-06 15:00:00,499.0
2018-01-06 12:00:00,2018-01-06 13:00:00,2018-01-06 15:00:00,2018-01-06 16:00:00,588.0
2018-01-06 13:00:00,2018-01-06 14:00:00,2018-01-06 16:00:00,2018-01-06 17:00:00,710.0
2018-01-06 14:00:00,2018-01-06 15:00:00,2018-01-06 17:00:00,2018-01-06 18:00:00,848.0
2018-01-06 15:00:00,2018-01-06 16:00:00,2018-01-06 18:00:00,2018-01-06 19:00:00,1008.0
2018-01-06 16:00:00,2018-01-06 17:00:00,2018-01-06 19:00:00,2018-01-06 20:00:00,1141.0
2018-01-06 17:00:00,2018-01-06 18:00:00,2018-01-06 20:00:00,2018-01-06 21:00:00,1247.0
2018-01-06 18:00:00,2018-01-06 19:00:00,2018-01-06 21:00:00,2018-01-06 22:00:00,1340.0
2018-01-06 19:00:00,2018-01-06 20:00:00,2018-01-06 22:00:00,2018-01-06 23:00:00,1395.0
2018-01-06 20:00:00,2018-01-06 21:00:00,2018-01-06 23:00:00,2018-01-07 00:00:00,1448.0
2018-01-06 21:00:00,2018-01-06 22:00:00,2018-01-07 00:00:00,2018-01-07 01:00:00,1485.0
2018-01-06 22:00:00,2018-01-06 23:00:00,2018-01-07 01:00:00,2018-01-07 02:00:00,1519.0
2018-01-06 23:00:00,2018-01-07 00:00:00,2018-01-07 02:00:00,2018-01-07 03:00:00,1518.0
2018-01-07 00:00:00,2018-01-07 01:00:00,2018-01-07 03:00:00,2018-01-07 04:00:00,1546.0
2018-01-07 01:00:00,2018-01-07 02:00:00,2018-01-07 04:00:00,2018-01-07 05:00:00,1562.0
2018-01-07 02:00:00,2018-01-07 03:00:00,2018-01-07 05:00:00,2018-01-07 06:00:00,1582.0
2018-01-07 03:00:00,2018-01-07 04:00:00,2018-01-07 06:00:00,2018-01-07 07:00:00,1593.0
2018-01-07 04:00:00,2018-01-07 05:00:00,2018-01-07 07:00:00,2018-01-07 08:00:00,1599.0
2018-01-07 05:00:00,2018-01-07 06:00:00,2018-01-07 08:00:00,2018-01-07 09:00:00,1601.0
2018-01-07 06:00:00,2018-01-07 07:00:00,2018-01-07 09:00:00,2018-01-07 10:00:00,1591.0
2018-01-07 07:00:00,2018-01-07 08:00:00,2018-01-07 10:00:00,2018-01-07 11:00:00,1535.0
2018-01-07 08:00:00,2018-01-07 09:00:00,2018-01-07 11:00:00,2018-01-07 12:00:00,1554.0
2018-01-07 09:00:00,2018-01-07 10:00:00,2018-01-07 12:00:00,2018-01-07 13:00:00,1489.0
2018-01-07 10:00:00,2018-01-07 11:00:00,2018-01-07 13:00:00,2018-01-07 14:00:00,1349.0
2018-01-07 11:00:00,2018-01-07 12:00:00,2018-01-07 14:00:00,2018-01-07 15:00:00,1328.0
2018-01-07 12:00:00,2018-01-07 13:00:00,2018-01-07 15:00:00,2018-01-07 16:00:00,1292.0
2018-01-07 13:00:00,2018-01-07 14:00:00,2018-01-07 16:00:00,2018-01-07 17:00:00,1214.0
2018-01-07 14:00:00,2018-01-07 15:00:00,2018-01-07 17:00:00,2018-01-07 18:00:00,1077.0
2018-01-07 15:00:00,2018-01-07 16:00:00,2018-01-07 18:00:00,2018-01-07 19:00:00,950.0
2018-01-07 16:00:00,2018-01-07 17:00:00,2018-01-07 19:00:00,2018-01-07 20:00:00,890.0
2018-01-07 17:00:00,2018-01-07 18:00:00,2018-01-07 20:00:00,2018-01-07 21:00:00,881.0
2018-01-07 18:00:00,2018-01-07 19:00:00,2018-01-07 21:00:00,2018-01-07 22:00:00,823.0
2018-01-07 19:00:00,2018-01-07 20:00:00,2018-01-07 22:00:00,2018-01-07 23:00:00,809.0
2018-01-07 20:00:00,2018-01-07 21:00:00,2018-01-07 23:00:00,2018-01-08 00:00:00,791.0
2018-01-07 21:00:00,2018-01-07 22:00:00,2018-01-08 00:00:00,2018-01-08 01:00:00,840.0
2018-01-07 22:00:00,2018-01-07 23:00:00,2018-01-08 01:00:00,2018-01-08 02:00:00,921.0
2018-01-07 23:00:00,2018-01-08 00:00:00,2018-01-08 02:00:00,2018-01-08 03:00:00,1010.0
2018-01-08 00:00:00,2018-01-08 01:00:00,2018-01-08 03:00:00,2018-01-08 04:00:00,1162.0
