Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Up-regulating price in the Balancing energy market
3.1.2018 16:00,3.1.2018 17:00,3.1.2018 19:00,3.1.2018 20:00,32.61
3.1.2018 17:00,3.1.2018 18:00,3.1.2018 20:00,3.1.2018 21:00,32.61
3.1.2018 18:00,3.1.2018 19:00,3.1.2018 21:00,3.1.2018 22:00,32.61
3.1.2018 19:00,3.1.2018 20:00,3.1.2018 22:00,3.1.2018 23:00,31.2
3.1.2018 20:00,3.1.2018 21:00,3.1.2018 23:00,4.1.2018 0:00,30.5
3.1.2018 21:00,3.1.2018 22:00,4.1.2018 0:00,4.1.2018 1:00,30.5
3.1.2018 22:00,3.1.2018 23:00,4.1.2018 1:00,4.1.2018 2:00,30.5
3.1.2018 23:00,4.1.2018 0:00,4.1.2018 2:00,4.1.2018 3:00,31.6
4.1.2018 0:00,4.1.2018 1:00,4.1.2018 3:00,4.1.2018 4:00,31.6
4.1.2018 1:00,4.1.2018 2:00,4.1.2018 4:00,4.1.2018 5:00,31.6
4.1.2018 2:00,4.1.2018 3:00,4.1.2018 5:00,4.1.2018 6:00,31.6
4.1.2018 3:00,4.1.2018 4:00,4.1.2018 6:00,4.1.2018 7:00,30.78
4.1.2018 4:00,4.1.2018 5:00,4.1.2018 7:00,4.1.2018 8:00,27.01
4.1.2018 5:00,4.1.2018 6:00,4.1.2018 8:00,4.1.2018 9:00,28.04
4.1.2018 6:00,4.1.2018 7:00,4.1.2018 9:00,4.1.2018 10:00,33.86
4.1.2018 7:00,4.1.2018 8:00,4.1.2018 10:00,4.1.2018 11:00,34.89
4.1.2018 8:00,4.1.2018 9:00,4.1.2018 11:00,4.1.2018 12:00,36.43
4.1.2018 9:00,4.1.2018 10:00,4.1.2018 12:00,4.1.2018 13:00,38
4.1.2018 10:00,4.1.2018 11:00,4.1.2018 13:00,4.1.2018 14:00,37
4.1.2018 11:00,4.1.2018 12:00,4.1.2018 14:00,4.1.2018 15:00,37.08
4.1.2018 12:00,4.1.2018 13:00,4.1.2018 15:00,4.1.2018 16:00,37.08
4.1.2018 13:00,4.1.2018 14:00,4.1.2018 16:00,4.1.2018 17:00,37.08
4.1.2018 14:00,4.1.2018 15:00,4.1.2018 17:00,4.1.2018 18:00,39.51
4.1.2018 15:00,4.1.2018 16:00,4.1.2018 18:00,4.1.2018 19:00,40
4.1.2018 16:00,4.1.2018 17:00,4.1.2018 19:00,4.1.2018 20:00,39.1
4.1.2018 17:00,4.1.2018 18:00,4.1.2018 20:00,4.1.2018 21:00,35.03
4.1.2018 18:00,4.1.2018 19:00,4.1.2018 21:00,4.1.2018 22:00,32.8
4.1.2018 19:00,4.1.2018 20:00,4.1.2018 22:00,4.1.2018 23:00,32.8
4.1.2018 20:00,4.1.2018 21:00,4.1.2018 23:00,5.1.2018 0:00,32
4.1.2018 21:00,4.1.2018 22:00,5.1.2018 0:00,5.1.2018 1:00,31.6
4.1.2018 22:00,4.1.2018 23:00,5.1.2018 1:00,5.1.2018 2:00,31.6
4.1.2018 23:00,5.1.2018 0:00,5.1.2018 2:00,5.1.2018 3:00,28
5.1.2018 0:00,5.1.2018 1:00,5.1.2018 3:00,5.1.2018 4:00,28
5.1.2018 1:00,5.1.2018 2:00,5.1.2018 4:00,5.1.2018 5:00,28
5.1.2018 2:00,5.1.2018 3:00,5.1.2018 5:00,5.1.2018 6:00,28
5.1.2018 3:00,5.1.2018 4:00,5.1.2018 6:00,5.1.2018 7:00,26.88
5.1.2018 4:00,5.1.2018 5:00,5.1.2018 7:00,5.1.2018 8:00,27.66
5.1.2018 5:00,5.1.2018 6:00,5.1.2018 8:00,5.1.2018 9:00,28.65
5.1.2018 6:00,5.1.2018 7:00,5.1.2018 9:00,5.1.2018 10:00,30.44
5.1.2018 7:00,5.1.2018 8:00,5.1.2018 10:00,5.1.2018 11:00,32.53
5.1.2018 8:00,5.1.2018 9:00,5.1.2018 11:00,5.1.2018 12:00,33.52
5.1.2018 9:00,5.1.2018 10:00,5.1.2018 12:00,5.1.2018 13:00,33.31
5.1.2018 10:00,5.1.2018 11:00,5.1.2018 13:00,5.1.2018 14:00,32.98
5.1.2018 11:00,5.1.2018 12:00,5.1.2018 14:00,5.1.2018 15:00,32.88
5.1.2018 12:00,5.1.2018 13:00,5.1.2018 15:00,5.1.2018 16:00,32.84
5.1.2018 13:00,5.1.2018 14:00,5.1.2018 16:00,5.1.2018 17:00,32.87
5.1.2018 14:00,5.1.2018 15:00,5.1.2018 17:00,5.1.2018 18:00,34.2
5.1.2018 15:00,5.1.2018 16:00,5.1.2018 18:00,5.1.2018 19:00,35.8
5.1.2018 16:00,5.1.2018 17:00,5.1.2018 19:00,5.1.2018 20:00,37.3
5.1.2018 17:00,5.1.2018 18:00,5.1.2018 20:00,5.1.2018 21:00,34
5.1.2018 18:00,5.1.2018 19:00,5.1.2018 21:00,5.1.2018 22:00,32.25
5.1.2018 19:00,5.1.2018 20:00,5.1.2018 22:00,5.1.2018 23:00,31.51
5.1.2018 20:00,5.1.2018 21:00,5.1.2018 23:00,6.1.2018 0:00,31.25
5.1.2018 21:00,5.1.2018 22:00,6.1.2018 0:00,6.1.2018 1:00,30.44
5.1.2018 22:00,5.1.2018 23:00,6.1.2018 1:00,6.1.2018 2:00,29.64
5.1.2018 23:00,6.1.2018 0:00,6.1.2018 2:00,6.1.2018 3:00,29.45
6.1.2018 0:00,6.1.2018 1:00,6.1.2018 3:00,6.1.2018 4:00,28.55
6.1.2018 1:00,6.1.2018 2:00,6.1.2018 4:00,6.1.2018 5:00,28.18
6.1.2018 2:00,6.1.2018 3:00,6.1.2018 5:00,6.1.2018 6:00,28
6.1.2018 3:00,6.1.2018 4:00,6.1.2018 6:00,6.1.2018 7:00,28.15
6.1.2018 4:00,6.1.2018 5:00,6.1.2018 7:00,6.1.2018 8:00,28.7
6.1.2018 5:00,6.1.2018 6:00,6.1.2018 8:00,6.1.2018 9:00,29.48
6.1.2018 6:00,6.1.2018 7:00,6.1.2018 9:00,6.1.2018 10:00,30.35
6.1.2018 7:00,6.1.2018 8:00,6.1.2018 10:00,6.1.2018 11:00,30.38
6.1.2018 8:00,6.1.2018 9:00,6.1.2018 11:00,6.1.2018 12:00,30.9
6.1.2018 9:00,6.1.2018 10:00,6.1.2018 12:00,6.1.2018 13:00,31.89
6.1.2018 10:00,6.1.2018 11:00,6.1.2018 13:00,6.1.2018 14:00,32.86
6.1.2018 11:00,6.1.2018 12:00,6.1.2018 14:00,6.1.2018 15:00,32.17
6.1.2018 12:00,6.1.2018 13:00,6.1.2018 15:00,6.1.2018 16:00,31.79
6.1.2018 13:00,6.1.2018 14:00,6.1.2018 16:00,6.1.2018 17:00,31.77
6.1.2018 14:00,6.1.2018 15:00,6.1.2018 17:00,6.1.2018 18:00,33.05
6.1.2018 15:00,6.1.2018 16:00,6.1.2018 18:00,6.1.2018 19:00,36.47
6.1.2018 16:00,6.1.2018 17:00,6.1.2018 19:00,6.1.2018 20:00,36.53
6.1.2018 17:00,6.1.2018 18:00,6.1.2018 20:00,6.1.2018 21:00,34.45
6.1.2018 18:00,6.1.2018 19:00,6.1.2018 21:00,6.1.2018 22:00,31.93
6.1.2018 19:00,6.1.2018 20:00,6.1.2018 22:00,6.1.2018 23:00,31.06
6.1.2018 20:00,6.1.2018 21:00,6.1.2018 23:00,7.1.2018 0:00,30.72
6.1.2018 21:00,6.1.2018 22:00,7.1.2018 0:00,7.1.2018 1:00,29.98
6.1.2018 22:00,6.1.2018 23:00,7.1.2018 1:00,7.1.2018 2:00,29.03
6.1.2018 23:00,7.1.2018 0:00,7.1.2018 2:00,7.1.2018 3:00,27.58
7.1.2018 0:00,7.1.2018 1:00,7.1.2018 3:00,7.1.2018 4:00,25.9
7.1.2018 1:00,7.1.2018 2:00,7.1.2018 4:00,7.1.2018 5:00,25.89
7.1.2018 2:00,7.1.2018 3:00,7.1.2018 5:00,7.1.2018 6:00,26.16
7.1.2018 3:00,7.1.2018 4:00,7.1.2018 6:00,7.1.2018 7:00,26.6
7.1.2018 4:00,7.1.2018 5:00,7.1.2018 7:00,7.1.2018 8:00,27.14
7.1.2018 5:00,7.1.2018 6:00,7.1.2018 8:00,7.1.2018 9:00,27.43
7.1.2018 6:00,7.1.2018 7:00,7.1.2018 9:00,7.1.2018 10:00,27.69
7.1.2018 7:00,7.1.2018 8:00,7.1.2018 10:00,7.1.2018 11:00,27.93
7.1.2018 8:00,7.1.2018 9:00,7.1.2018 11:00,7.1.2018 12:00,28.33
7.1.2018 9:00,7.1.2018 10:00,7.1.2018 12:00,7.1.2018 13:00,28.79
7.1.2018 10:00,7.1.2018 11:00,7.1.2018 13:00,7.1.2018 14:00,28.95
7.1.2018 11:00,7.1.2018 12:00,7.1.2018 14:00,7.1.2018 15:00,28.96
7.1.2018 12:00,7.1.2018 13:00,7.1.2018 15:00,7.1.2018 16:00,28.27
7.1.2018 13:00,7.1.2018 14:00,7.1.2018 16:00,7.1.2018 17:00,28.29
7.1.2018 14:00,7.1.2018 15:00,7.1.2018 17:00,7.1.2018 18:00,28.62
7.1.2018 15:00,7.1.2018 16:00,7.1.2018 18:00,7.1.2018 19:00,29.38
7.1.2018 16:00,7.1.2018 17:00,7.1.2018 19:00,7.1.2018 20:00,32.49
7.1.2018 17:00,7.1.2018 18:00,7.1.2018 20:00,7.1.2018 21:00,32.8
7.1.2018 18:00,7.1.2018 19:00,7.1.2018 21:00,7.1.2018 22:00,32
7.1.2018 19:00,7.1.2018 20:00,7.1.2018 22:00,7.1.2018 23:00,29.96
7.1.2018 20:00,7.1.2018 21:00,7.1.2018 23:00,8.1.2018 0:00,28.94
7.1.2018 21:00,7.1.2018 22:00,8.1.2018 0:00,8.1.2018 1:00,28.9
7.1.2018 22:00,7.1.2018 23:00,8.1.2018 1:00,8.1.2018 2:00,27.57
7.1.2018 23:00,8.1.2018 0:00,8.1.2018 2:00,8.1.2018 3:00,25.03
8.1.2018 0:00,8.1.2018 1:00,8.1.2018 3:00,8.1.2018 4:00,23.96
8.1.2018 1:00,8.1.2018 2:00,8.1.2018 4:00,8.1.2018 5:00,23.92
8.1.2018 2:00,8.1.2018 3:00,8.1.2018 5:00,8.1.2018 6:00,25.48
8.1.2018 3:00,8.1.2018 4:00,8.1.2018 6:00,8.1.2018 7:00,26.12
8.1.2018 4:00,8.1.2018 5:00,8.1.2018 7:00,8.1.2018 8:00,27.96
8.1.2018 5:00,8.1.2018 6:00,8.1.2018 8:00,8.1.2018 9:00,29.62
8.1.2018 6:00,8.1.2018 7:00,8.1.2018 9:00,8.1.2018 10:00,32.73
8.1.2018 7:00,8.1.2018 8:00,8.1.2018 10:00,8.1.2018 11:00,41.67
8.1.2018 8:00,8.1.2018 9:00,8.1.2018 11:00,8.1.2018 12:00,42.57
8.1.2018 9:00,8.1.2018 10:00,8.1.2018 12:00,8.1.2018 13:00,39.48
8.1.2018 10:00,8.1.2018 11:00,8.1.2018 13:00,8.1.2018 14:00,35.87
8.1.2018 11:00,8.1.2018 12:00,8.1.2018 14:00,8.1.2018 15:00,33.09
8.1.2018 12:00,8.1.2018 13:00,8.1.2018 15:00,8.1.2018 16:00,32.91
8.1.2018 13:00,8.1.2018 14:00,8.1.2018 16:00,8.1.2018 17:00,34.35
8.1.2018 14:00,8.1.2018 15:00,8.1.2018 17:00,8.1.2018 18:00,38.01
8.1.2018 15:00,8.1.2018 16:00,8.1.2018 18:00,8.1.2018 19:00,39.69
8.1.2018 16:00,8.1.2018 17:00,8.1.2018 19:00,8.1.2018 20:00,40.26
8.1.2018 17:00,8.1.2018 18:00,8.1.2018 20:00,8.1.2018 21:00,32.95
8.1.2018 18:00,8.1.2018 19:00,8.1.2018 21:00,8.1.2018 22:00,31.16
8.1.2018 19:00,8.1.2018 20:00,8.1.2018 22:00,8.1.2018 23:00,29.68
8.1.2018 20:00,8.1.2018 21:00,8.1.2018 23:00,9.1.2018 0:00,28.92
8.1.2018 21:00,8.1.2018 22:00,9.1.2018 0:00,9.1.2018 1:00,28.49
8.1.2018 22:00,8.1.2018 23:00,9.1.2018 1:00,9.1.2018 2:00,28.09
8.1.2018 23:00,9.1.2018 0:00,9.1.2018 2:00,9.1.2018 3:00,27.17
9.1.2018 0:00,9.1.2018 1:00,9.1.2018 3:00,9.1.2018 4:00,25.29
9.1.2018 1:00,9.1.2018 2:00,9.1.2018 4:00,9.1.2018 5:00,25.3
9.1.2018 2:00,9.1.2018 3:00,9.1.2018 5:00,9.1.2018 6:00,26.58
9.1.2018 3:00,9.1.2018 4:00,9.1.2018 6:00,9.1.2018 7:00,27.26
9.1.2018 4:00,9.1.2018 5:00,9.1.2018 7:00,9.1.2018 8:00,28.25
9.1.2018 5:00,9.1.2018 6:00,9.1.2018 8:00,9.1.2018 9:00,28.99
9.1.2018 6:00,9.1.2018 7:00,9.1.2018 9:00,9.1.2018 10:00,39.05
9.1.2018 7:00,9.1.2018 8:00,9.1.2018 10:00,9.1.2018 11:00,39.07
9.1.2018 8:00,9.1.2018 9:00,9.1.2018 11:00,9.1.2018 12:00,39.44
9.1.2018 9:00,9.1.2018 10:00,9.1.2018 12:00,9.1.2018 13:00,39.48
9.1.2018 10:00,9.1.2018 11:00,9.1.2018 13:00,9.1.2018 14:00,40.59
9.1.2018 11:00,9.1.2018 12:00,9.1.2018 14:00,9.1.2018 15:00,39.87
9.1.2018 12:00,9.1.2018 13:00,9.1.2018 15:00,9.1.2018 16:00,40
9.1.2018 13:00,9.1.2018 14:00,9.1.2018 16:00,9.1.2018 17:00,39.63
9.1.2018 14:00,9.1.2018 15:00,9.1.2018 17:00,9.1.2018 18:00,40.7
9.1.2018 15:00,9.1.2018 16:00,9.1.2018 18:00,9.1.2018 19:00,42.17
9.1.2018 16:00,9.1.2018 17:00,9.1.2018 19:00,9.1.2018 20:00,42.21
9.1.2018 17:00,9.1.2018 18:00,9.1.2018 20:00,9.1.2018 21:00,53
9.1.2018 18:00,9.1.2018 19:00,9.1.2018 21:00,9.1.2018 22:00,32.58
9.1.2018 19:00,9.1.2018 20:00,9.1.2018 22:00,9.1.2018 23:00,32.58
9.1.2018 20:00,9.1.2018 21:00,9.1.2018 23:00,10.1.2018 0:00,33
9.1.2018 21:00,9.1.2018 22:00,10.1.2018 0:00,10.1.2018 1:00,32.58
9.1.2018 22:00,9.1.2018 23:00,10.1.2018 1:00,10.1.2018 2:00,31.03
9.1.2018 23:00,10.1.2018 0:00,10.1.2018 2:00,10.1.2018 3:00,31.03
10.1.2018 0:00,10.1.2018 1:00,10.1.2018 3:00,10.1.2018 4:00,31.03
10.1.2018 1:00,10.1.2018 2:00,10.1.2018 4:00,10.1.2018 5:00,31.03
10.1.2018 2:00,10.1.2018 3:00,10.1.2018 5:00,10.1.2018 6:00,31.03
10.1.2018 3:00,10.1.2018 4:00,10.1.2018 6:00,10.1.2018 7:00,32.06
10.1.2018 4:00,10.1.2018 5:00,10.1.2018 7:00,10.1.2018 8:00,33.1
10.1.2018 5:00,10.1.2018 6:00,10.1.2018 8:00,10.1.2018 9:00,46.54
10.1.2018 6:00,10.1.2018 7:00,10.1.2018 9:00,10.1.2018 10:00,92
10.1.2018 7:00,10.1.2018 8:00,10.1.2018 10:00,10.1.2018 11:00,155
10.1.2018 8:00,10.1.2018 9:00,10.1.2018 11:00,10.1.2018 12:00,100
10.1.2018 9:00,10.1.2018 10:00,10.1.2018 12:00,10.1.2018 13:00,48.31
10.1.2018 10:00,10.1.2018 11:00,10.1.2018 13:00,10.1.2018 14:00,48.09
10.1.2018 11:00,10.1.2018 12:00,10.1.2018 14:00,10.1.2018 15:00,47.36
10.1.2018 12:00,10.1.2018 13:00,10.1.2018 15:00,10.1.2018 16:00,44.15
10.1.2018 13:00,10.1.2018 14:00,10.1.2018 16:00,10.1.2018 17:00,47.7
10.1.2018 14:00,10.1.2018 15:00,10.1.2018 17:00,10.1.2018 18:00,69
10.1.2018 15:00,10.1.2018 16:00,10.1.2018 18:00,10.1.2018 19:00,51.7
10.1.2018 16:00,10.1.2018 17:00,10.1.2018 19:00,10.1.2018 20:00,52.23
10.1.2018 17:00,10.1.2018 18:00,10.1.2018 20:00,10.1.2018 21:00,52.69
10.1.2018 18:00,10.1.2018 19:00,10.1.2018 21:00,10.1.2018 22:00,44.99
10.1.2018 19:00,10.1.2018 20:00,10.1.2018 22:00,10.1.2018 23:00,40.9
10.1.2018 20:00,10.1.2018 21:00,10.1.2018 23:00,11.1.2018 0:00,38.2
10.1.2018 21:00,10.1.2018 22:00,11.1.2018 0:00,11.1.2018 1:00,35.17
10.1.2018 22:00,10.1.2018 23:00,11.1.2018 1:00,11.1.2018 2:00,34.13
10.1.2018 23:00,11.1.2018 0:00,11.1.2018 2:00,11.1.2018 3:00,34
11.1.2018 0:00,11.1.2018 1:00,11.1.2018 3:00,11.1.2018 4:00,33
11.1.2018 1:00,11.1.2018 2:00,11.1.2018 4:00,11.1.2018 5:00,32
11.1.2018 2:00,11.1.2018 3:00,11.1.2018 5:00,11.1.2018 6:00,29.97
11.1.2018 3:00,11.1.2018 4:00,11.1.2018 6:00,11.1.2018 7:00,30.95
11.1.2018 4:00,11.1.2018 5:00,11.1.2018 7:00,11.1.2018 8:00,133
11.1.2018 5:00,11.1.2018 6:00,11.1.2018 8:00,11.1.2018 9:00,65
11.1.2018 6:00,11.1.2018 7:00,11.1.2018 9:00,11.1.2018 10:00,137
11.1.2018 7:00,11.1.2018 8:00,11.1.2018 10:00,11.1.2018 11:00,55.65
11.1.2018 8:00,11.1.2018 9:00,11.1.2018 11:00,11.1.2018 12:00,55.11
11.1.2018 9:00,11.1.2018 10:00,11.1.2018 12:00,11.1.2018 13:00,55.13
11.1.2018 10:00,11.1.2018 11:00,11.1.2018 13:00,11.1.2018 14:00,54.88
11.1.2018 11:00,11.1.2018 12:00,11.1.2018 14:00,11.1.2018 15:00,81
11.1.2018 12:00,11.1.2018 13:00,11.1.2018 15:00,11.1.2018 16:00,47.14
11.1.2018 13:00,11.1.2018 14:00,11.1.2018 16:00,11.1.2018 17:00,50.22
11.1.2018 14:00,11.1.2018 15:00,11.1.2018 17:00,11.1.2018 18:00,52.55
11.1.2018 15:00,11.1.2018 16:00,11.1.2018 18:00,11.1.2018 19:00,54.88
11.1.2018 16:00,11.1.2018 17:00,11.1.2018 19:00,11.1.2018 20:00,81
11.1.2018 17:00,11.1.2018 18:00,11.1.2018 20:00,11.1.2018 21:00,137
11.1.2018 18:00,11.1.2018 19:00,11.1.2018 21:00,11.1.2018 22:00,40.06
11.1.2018 19:00,11.1.2018 20:00,11.1.2018 22:00,11.1.2018 23:00,38
11.1.2018 20:00,11.1.2018 21:00,11.1.2018 23:00,12.1.2018 0:00,38
11.1.2018 21:00,11.1.2018 22:00,12.1.2018 0:00,12.1.2018 1:00,37.27
11.1.2018 22:00,11.1.2018 23:00,12.1.2018 1:00,12.1.2018 2:00,34.17
11.1.2018 23:00,12.1.2018 0:00,12.1.2018 2:00,12.1.2018 3:00,33
12.1.2018 0:00,12.1.2018 1:00,12.1.2018 3:00,12.1.2018 4:00,33.22
12.1.2018 1:00,12.1.2018 2:00,12.1.2018 4:00,12.1.2018 5:00,32.7
12.1.2018 2:00,12.1.2018 3:00,12.1.2018 5:00,12.1.2018 6:00,32.7
12.1.2018 3:00,12.1.2018 4:00,12.1.2018 6:00,12.1.2018 7:00,32.7
12.1.2018 4:00,12.1.2018 5:00,12.1.2018 7:00,12.1.2018 8:00,92
12.1.2018 5:00,12.1.2018 6:00,12.1.2018 8:00,12.1.2018 9:00,225
12.1.2018 6:00,12.1.2018 7:00,12.1.2018 9:00,12.1.2018 10:00,299
12.1.2018 7:00,12.1.2018 8:00,12.1.2018 10:00,12.1.2018 11:00,119
12.1.2018 8:00,12.1.2018 9:00,12.1.2018 11:00,12.1.2018 12:00,119
12.1.2018 9:00,12.1.2018 10:00,12.1.2018 12:00,12.1.2018 13:00,67.48
12.1.2018 10:00,12.1.2018 11:00,12.1.2018 13:00,12.1.2018 14:00,77.63
12.1.2018 11:00,12.1.2018 12:00,12.1.2018 14:00,12.1.2018 15:00,67.15
12.1.2018 12:00,12.1.2018 13:00,12.1.2018 15:00,12.1.2018 16:00,67.15
12.1.2018 13:00,12.1.2018 14:00,12.1.2018 16:00,12.1.2018 17:00,60.22
12.1.2018 14:00,12.1.2018 15:00,12.1.2018 17:00,12.1.2018 18:00,92
12.1.2018 15:00,12.1.2018 16:00,12.1.2018 18:00,12.1.2018 19:00,66
12.1.2018 16:00,12.1.2018 17:00,12.1.2018 19:00,12.1.2018 20:00,48.2
12.1.2018 17:00,12.1.2018 18:00,12.1.2018 20:00,12.1.2018 21:00,48.4
12.1.2018 18:00,12.1.2018 19:00,12.1.2018 21:00,12.1.2018 22:00,46.8
12.1.2018 19:00,12.1.2018 20:00,12.1.2018 22:00,12.1.2018 23:00,31.56
12.1.2018 20:00,12.1.2018 21:00,12.1.2018 23:00,13.1.2018 0:00,33.9
12.1.2018 21:00,12.1.2018 22:00,13.1.2018 0:00,13.1.2018 1:00,32.18
12.1.2018 22:00,12.1.2018 23:00,13.1.2018 1:00,13.1.2018 2:00,32.18
12.1.2018 23:00,13.1.2018 0:00,13.1.2018 2:00,13.1.2018 3:00,32.4
13.1.2018 0:00,13.1.2018 1:00,13.1.2018 3:00,13.1.2018 4:00,32.4
13.1.2018 1:00,13.1.2018 2:00,13.1.2018 4:00,13.1.2018 5:00,31.5
