Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2018-01-03 07:00:00,2018-01-03 08:00:00,2018-01-03 10:00:00,2018-01-03 11:00:00,24.3
2018-01-03 08:00:00,2018-01-03 09:00:00,2018-01-03 11:00:00,2018-01-03 12:00:00,23.52
2018-01-03 09:00:00,2018-01-03 10:00:00,2018-01-03 12:00:00,2018-01-03 13:00:00,23.52
2018-01-03 10:00:00,2018-01-03 11:00:00,2018-01-03 13:00:00,2018-01-03 14:00:00,27.09
2018-01-03 11:00:00,2018-01-03 12:00:00,2018-01-03 14:00:00,2018-01-03 15:00:00,27.09
2018-01-03 12:00:00,2018-01-03 13:00:00,2018-01-03 15:00:00,2018-01-03 16:00:00,27.09
2018-01-03 13:00:00,2018-01-03 14:00:00,2018-01-03 16:00:00,2018-01-03 17:00:00,29.86
2018-01-03 14:00:00,2018-01-03 15:00:00,2018-01-03 17:00:00,2018-01-03 18:00:00,30.51
2018-01-03 15:00:00,2018-01-03 16:00:00,2018-01-03 18:00:00,2018-01-03 19:00:00,31.33
2018-01-03 16:00:00,2018-01-03 17:00:00,2018-01-03 19:00:00,2018-01-03 20:00:00,31.59
2018-01-03 17:00:00,2018-01-03 18:00:00,2018-01-03 20:00:00,2018-01-03 21:00:00,30.78
2018-01-03 18:00:00,2018-01-03 19:00:00,2018-01-03 21:00:00,2018-01-03 22:00:00,30.15
2018-01-03 19:00:00,2018-01-03 20:00:00,2018-01-03 22:00:00,2018-01-03 23:00:00,29.37
2018-01-03 20:00:00,2018-01-03 21:00:00,2018-01-03 23:00:00,2018-01-04 00:00:00,28.93
2018-01-03 21:00:00,2018-01-03 22:00:00,2018-01-04 00:00:00,2018-01-04 01:00:00,28.13
2018-01-03 22:00:00,2018-01-03 23:00:00,2018-01-04 01:00:00,2018-01-04 02:00:00,27.31
2018-01-03 23:00:00,2018-01-04 00:00:00,2018-01-04 02:00:00,2018-01-04 03:00:00,27.05
2018-01-04 00:00:00,2018-01-04 01:00:00,2018-01-04 03:00:00,2018-01-04 04:00:00,26.78
2018-01-04 01:00:00,2018-01-04 02:00:00,2018-01-04 04:00:00,2018-01-04 05:00:00,26.47
2018-01-04 02:00:00,2018-01-04 03:00:00,2018-01-04 05:00:00,2018-01-04 06:00:00,26.49
2018-01-04 03:00:00,2018-01-04 04:00:00,2018-01-04 06:00:00,2018-01-04 07:00:00,26.6
2018-01-04 04:00:00,2018-01-04 05:00:00,2018-01-04 07:00:00,2018-01-04 08:00:00,27.01
2018-01-04 05:00:00,2018-01-04 06:00:00,2018-01-04 08:00:00,2018-01-04 09:00:00,28.04
2018-01-04 06:00:00,2018-01-04 07:00:00,2018-01-04 09:00:00,2018-01-04 10:00:00,30.43
2018-01-04 07:00:00,2018-01-04 08:00:00,2018-01-04 10:00:00,2018-01-04 11:00:00,32.83
